This spreadsheet is based on Kedaliya's edition of the Śabdamaṇidarpaṇa of Kēśirāja. See https://github.com/aso2101/kannadaroots.,,,,,,
No.,Root,Meaning (Sanskrit),Meaning (English),Class,Compound?,Textual notes
1,ī,pradāne,to give.,ajanta,,
2,ō,snēhē,to love.,ajanta,,
3,kā,rakṣaṇē,to guard.,kanta,,
4,kī,raktapakvē,to become pus.,kanta,,
5,kē,śayanē,"to lie down,",kanta,,
6,kuṭaku,gāḍhapūraṇē,to cram into.,kanta,,
7,misuku,spandanē,to move.,kanta,,
8,musuku,avaraṇē,to cover.,kanta,,
9,"kusuku, kusuṅku",ghātanē,to strike.,kanta,,
10,"pisuku, pisuṅku",avajñātiśayē,to treat with great disrespect.,kanta,,
11,"kuṟuku, kuṟuṅku",khādanē,to eat etc.,kanta,,
12,muṟuku,mukhavikārē,"to distort the face, etc.",kanta,,
13,tuṟuku,gāḍhapravēśē,to force into.,kanta,,
14,nuṟuku,vr̥ddhihīnē,to be or become deficient in growth.,kanta,,
15,"iṟuku, iṟuṅku",nigrahagrahaṇē,"to hold firmly, etc.",kanta,,
16,sāku,rakṣaṇē,"to preserve, foster.",kanta,,
17,jarku,nakhaghātanē,to strike with the nails or claws.,kanta,,
18,nūṅku,prēraṇē,"to push on, etc.",kanta,,
19,soṅku,sparśanē,"to touch, etc.",kanta,,
20,kūṅku,utsarpanē,"to soar, etc.",kanta,,
21,teṅku,plavanē,"to float, swim.",kanta,,
22,avuṅku,dr̥ḍhapīḍanē,"to press firmly, etc.",kanta,,
23,kalaṅku,āḷōḍanē,"to stir up, etc.",kanta,,
24,"caluku, caluṅku",jalōtsarjanē,to pour out liquids.,kanta,,
25,"calaku, calaṅku",karavimācanē,"to loosen from out of the hand, etc.",kanta,,
26,"poḷaku, poḷaṅku",carvanakriyāyām,to chew.,kanta,,
27,paḷaṅku,gādhasparśanē,"to touch strongly or forcibly to push, etc.",kanta,,
28,"paluṅku, (paḻuku), nūṅku",,"to push, etc.",kanta,,
29,halaku,vr̥kṣarōhaṇē,"to climb, as a tree,",kanta,,
30,uluku,śarīrasphuranē,"the body to shake, etc.",kanta,,
31,muluku,prasavanakriyāyām,to be in labour.,kanta,,
32,kuluku,gādhapūranē,to fill with force.,kanta,,
33,"toḍaku, toḍaṅku",viparyasē,"to oppose, etc.",kanta,,
34,koṅku,kauṭilyē,"to get crooked, to bend.",kanta,,
35,baṅku,kauṭilyē,"to get crooked, to bend.",kanta,,
36,"tuḍuku, tuḍuṅku",satvaragrahaṇē,"to seize or grasp hastily, etc.",kanta,,
37,"puḍuku, puḍuṅku",karānvēṣaṇē,"to search for with the hands, etc.",kanta,,
38,"miḍuku, miḍuṅku",caitanyē,"to recover consciousness, etc.",kanta,,
39,"iḍuku, iḍuṅku",gāḍhavimocanē,"to unloose vehemently, etc.",kanta,,
40,aḍaku,sthānāntarapraṇītē,"to put in another place, etc.",kanta,,
41,kuḍuku,cañcughātanē,to peck.,kanta,,
42,"karduku, karduṅku",laghucañcughatanē,to peck lightly.,kanta,,
43,"barduku, barduṅku",jīvanārthē,to live.,kanta,,
44,bedaku,anvēṣaṇē,to search for.,kanta,,
45,kuḍuku,īṣatpradhavanē,to wash gently.,kanta,,
46,muḍuku (muduhu),śarīropaguhanē,to embrace the body.,kanta,,
47,minuku,antargatasvanē,"to speak in an indistinct tone, etc.",kanta,,
48,heṇaku,kadarthanē,to irritate or provoke.,kanta,,
49,kuṇuku,musalakriyāyām,"to pound,",kanta,,
50,koṇaku,mr̥galaṅghanē,"to leap, as a wild beast.",kanta,,
51,tiṇuku,apānavāyau,to fart.,kanta,,o.r. tiṇaku
52,bikku,ucchvāsē,"to sigh, sob,",kanta,,
53,okku,khalakaranē,to work on the floor for treading out corn.,kanta,,
54,ikku,tyāgahananayōḥ,"to deposit, etc., to beat, to kill.",kanta,,
55,nakku,lēhanē,to lick.,kanta,,o.r. nekku
56,pikku,vivaraṇē,to separate.,kanta,,
57,ekku,vibhajanē,"to divide, etc.",kanta,,
58,tekku,tiryakkaṇḍūtilāhanē,to lick the itch as beasts do.,kanta,,
59,kekku,gōśikṣadhvanau,to shout in training cattle.,kanta,,
60,mukku,khādanaviśēṣē,to eat in a certain manner.,kanta,,
61,nekku,antarlīnē,"to be depressed, etc.",kanta,,
62,kukku,vastrasvalpaghātanē,to beat a cloth to a small extent.,kanta,,
63,muḻuku muḻuṅku,jalanimajjanē,to be immersed in water.,kanta,,
64,"tuḷuku, tuḷuṅku",sēcanē,"to sprinkle, etc.",kanta,,
65,baḷku,namanē,to bend.,kanta,,
66,niḷku,uparisparśanē,"to stretch one's self, etc.",kanta,,
67,uḷku,dīptau,to shine.,kanta,,
68,aḷku,bhayē,to fear.,kanta,,
69,taḷku,anulēpanē,to anoint the body.,kanta,,
70,oḻku,pravāhē,to flow.,kanta,,
71,aḻku,jīrṇē,"to be worn out, etc.",kanta,,
72,urku,auddhatyē,"to be proud, etc.",kanta,,
73,sorku,unmādē,to grow proud.,kanta,,
74,"sirku, silku",pratibandhē,"to be impeded, entangled.",kanta,,
75,surku,saṅkocē,"to contract, shrivel.",kanta,,
76,cerku,nakhakṣatē,to wound with the nails or claws.,kanta,,
77,seṟku,vastrāntarapravēśē,"to tuck into, etc.",kanta,,
78,moraku,darpaghūrṇanē,to be in trembling oscillation from haughtiness.,kanta,,o.r. morku
79,kō,sūtrapravēśē,"to enter, as a thread into a needle, to be threaded, to thread.",kanta,,
80,ugi,ākarṣaṇē,"to draw towards, etc.",ganta,,
81,mugi,puṣpasaṅkōcanē,"to contract, as a flower, etc.",ganta,,
82,bagi,viślēṣē,"to divide, separate, etc.",ganta,,
83,sugi,bhayē,to fear.,ganta,,
84,bigi,bandhanē,to fasten.,ganta,,
85,agi,santrāsa-harṣa-carvanēṣu,"to tremble or fear, to be glad, to chew.",ganta,,
86,cigi,aṅgulivisarjanē,"to let loose from the fingers, to discharge or propel with the fingers.",ganta,,
87,pugu,pravēśē,to enter.,ganta,,
88,nagu,hasanē,to laugh.,ganta,,
89,ugu,visarjanē,"to let loose, throw away.",ganta,,
90,migu,atikramanē,"to exceed, etc.",ganta,,
91,muggu,jīrṇāvagandhē,"to get or have a corrupt, musty smell.",ganta,,
92,uggu,vacanavirodhē,"to stammer, etc.",ganta,,
93,põgu,gamanē,to go.,ganta,,
94,āgu,prādurbhavē,"to become manifest, to become.",ganta,,
95,kūgu,uccairdhvanau,"to cry aloud, shout.",ganta,,
96,tēgum,udanavāyau,"to belch,",ganta,,
97,tāgu,saṅghaṭṭanē,to come into close contact.,ganta,,
98,bāgu,namratvē,to bend or bow.,ganta,,
99,tūgu,tulanē,to weigh.,ganta,,
100,bīgu,harṣabhavē,"to be glad,",ganta,,
101,kēgu,mayūrasvanē,"to cry, as a peacock.",ganta,,
102,nīgu,tyajanē,to leave or quit.,ganta,,
103,hudugu,gõpanē,"to guard, conceal, etc.",ganta,,
104,sidugu,hastanvēṣaṇē,to search about or for with the hands.,ganta,,
105,pongu,sphuṭanē,"to burst, open, expand, etc.",ganta,,
106,nuṅgu,gilanē,to swallow.,ganta,,
107,kunuṅgu,saṅkocanē,"to contract, to bend.",ganta,,
108,tāṅgu,dhāraṇa-saṅghaṭṭanayōḥ,"to support, to come into close contact.",ganta,,
109,"jinugu, jinuṅgu",avyaktadhvanau,"to sound inarticulately, to mutter, to bum,",ganta,,
110,"malagu, malaṅgu",upadhānāvalambē,"to lie down, recline,",ganta,,
111,celaṅgu,karamuktau,"to let go from the hand, etc.",ganta,,
112,tolagu,viviktē,"to move away, separate from.",ganta,,
113,piṅgu,apasaranē,"to go away, to retreat.",ganta,,
114,misugu,kāntau,to shine.,ganta,,
115,esagu,udyōgē,"to undertake, to commence.",ganta,,
116,masagu,vijr̥mbhaṇē,"to open, extend, appear.",ganta,,
117,karagu,vilīnē,"to be dissolved, melt, etc.",ganta,,
118,koragu,rasavihinē,"to be deprived of juice, to shrivel, etc.",ganta,,
119,haragu,sasyakriyāyām,"to work in a corn-field, etc.",ganta,,
120,maṟugu,santāpē,"to burn, grieve.",ganta,,
121,eṟagu,praṇatē,"to stoop, to bow, etc.",ganta,,
122,miṟugu,cakacakayāmanē,to glitter.,ganta,,
123,tuṟugu,sañchannē,"to be covered or enveloped, etc.",ganta,,
124,uṟugu,vakrabhavē,"to be crooked, bent,",ganta,,
125,oragu,suptau,"to lie down, sleep.",ganta,,
126,karaṅgu,kārṣṇyē,to turn black.,ganta,,
127,uḍugu,saṅkōcanē,"to inflect, contract, shrivel, etc.",ganta,,
128,toḍagu,prārambhē,to begin.,ganta,,
129,maḍagu,gõpanē,"to hide, conceal.",ganta,,
130,naḍugu,kampanē,to tremble.,ganta,,
131,miḍugu,saṅkhinnē,to grieve.,ganta,,
132,kaḍaṅgu,"autsukyē,",to desire.,ganta,,
133,aḍaṅgu,gopanē,to hide.,ganta,,
134,oṇagu,śõṣaṇē,"to become dry, etc.",ganta,,
135,eḍeyuḍugu,vicchēdē,"to leave room, etc.",ganta,eḍe + uḍugu,
136,"toḷagu, beḷagu",kāntau,to shine.,ganta,,
137,muḻugu,nimagnē,to submerge.,ganta,,
138,alugu,sañcalanē,to shake.,ganta,,
139a,aḻi,kṣīṇatvē,"to decay, to grow less.",ganta,,
139b,aḻgu,kṣīṇatvē,"to decay, to grow less.",ganta,,
139c,taḻgu,kṣīṇatvē,"to decay, to grow less.",ganta,,
140,muḻgu,patanē,to fall down.,ganta,,
141,moḻgu,namanē,to bow.,ganta,,
142,aḻgu,layē,to dissolve.,ganta,,see 139b
143,puḻgu,dahanakriyāyām,to burn.,ganta,,
144,uḻgu,snēhē,to love.,ganta,,
145,moḻagu,vadanakriyāyām,"to sound, as musical instruments,",ganta,,
146,oḻgu,sammēḷanē,to unite.,ganta,,
147,nuḻgu (nuḷgu),sañcūrṇē,to be grounded.,ganta,,
148,kuḻgu,ākuñcanē,"to bend together, contract.",ganta,,
149,kaḻgu,kārṣṇyē,to turn black.,ganta,,
150,neḻgu,antarlīnē,"to sink in, be depressed..",ganta,,
152,oge,janana-vastraprakṣālanayōḥ,"to be born, to wash clothes.",ganta,,
153,bage,paribhāvē,"to reflect,",ganta,,
155,hoge,dhūpadhūmanirōdhakriyāyām,"to fume in the smoke of incense and other materials, to smoke,",ganta,,
156,nege,utpavanē,"to be purified, become clear.",ganta,,
157,moge,jalākarṣaṇē,"to scoop water,",ganta,,
158,miñcu,dīptau,"to shine,",canta,,
159,muñcu,agragamanē,to go before.,canta,,
160,piñcu,paścādarthē,to be behind.,canta,,
161,hoñcu,saṅkētōdyōgē,"to exert one’s self secretly, etc.",canta,,
162,paḷañcu,saṅghaṭṭanē,"to come into close contact, etc.",canta,,
163,jaṟucu,bahubhāṣāyām,to chatter.,canta,,
164,aṟucu,uccairdhvanau,to cry aloud.,canta,,
165,mōcu,vaidhavyē,to become a widow.,canta,,
166,kavicu,viparītapatanē,to be turned upside down.,canta,,
167,percu,vistārē,to increase.,canta,,
168,marcu,atiparicayē,to be intimately acquainted with.,canta,,
169,bercu,santrāsē,to fear.,canta,,
170,karcu,khādanē,to bite.,canta,,
171,bārcu,puñjīkaraṇē,to heap.,canta,,
172,tīrcu,niṣpattau,to finish.,canta,,
173,urcu,ākarṣaṇē,"to draw towards one's self,",canta,,
174,bircu,vibhajanē,"to divide, to loosen.",canta,,
175,parcu,avyaktadhvanau, to whisper.,canta,,o.r. arcu
176,peṭṭuvercu,darpē,to be very haughty.,canta,peṭṭu + percu,o.r. beṭṭuvercu
177,curcu,dahē,to burn.,canta,,
178,curcu,śikhisandhāranē,to burn.,canta,,
179,muccu,acchadanē,to cover.,canta,,
180,meccu,abhyupagamē,to assent.,canta,,
181,naccu,viśvāsē,to trust.,canta,,
182,eccu,añjanakriyāyām,to smear.,canta,,
183,keccu,tantuvāyakriyāyām,to do (a certain kind of) weaving-business.,canta,,
184,nāṇcu,lajjāyām,to be ashamed.,canta,,
185,kaḍegaṇcu,avajñāyām,"to slight, contempt.",canta,,kaḍe + kaṇcu
186,nuṇcu,apasaraṇē,to move off.,canta,,
187,alarcu,vikasanē,to cause to expand or open.,isvādeśacanta,,
188,elarcu,cētanakaraṇē,to give strength or animation.,isvādeśacanta,,
189,udircu,adhaḥpatanē,to cause to fall down (from above).,isvādeśacanta,,
190,sārcu,samīpāgamanē,to make go or come near or to.,isvādeśacanta,,
191,sõrcu,galanē,to cause to drop.,isvādeśacanta,,
192,oḍarcu,udyamē,to make effort; to begin.,isvādeśacanta,,
193,toḍarcu,bandhanē,"to bind, etc.",isvādeśacanta,,
194,bidircu,rathavimōcanē,to unharness or unyoke as a coach.,isvādeśacanta,,
195,amarcu,saṅghaṭikaraṇē,"to put into close contact, to join.",isvādeśacanta,,
196,bemarcu,svēdakaraṇē,to cause perspiration.,isvādeśacanta,,
197,nimircu,prasāraṇē,"to cause to be stretched, etc.",isvādeśacanta,,
198,poṇarcu,samyugē,"to join, to unite.",isvādeśacanta,,
199,taḷarcu,sthānāpagamanē,to cause to go away from a place.,isvādeśacanta,,
200,saḍilcu,saithilyē,to loosen.,isvādeśacanta,,
201,"koralcu, puyalcu",ākrōśadhvanau,to vociferate.,isvādeśacanta,,
202,"maralcu (cf. 622), maguḻcu",parāṅmukhīkaranē,"to avert the face, etc.",isvādeśacanta,,
203,nuguḷcu,sūkṣmadvārapravēśē,"to cause to enter a small opening, etc.",isvādeśacanta,,
204,muguḷcu,saṅkōcakaraṇē,"to cause to contract, etc.",isvādeśacanta,,
205,suruḷcu,saṅkōcanē,to cause to contract.,isvādeśacanta,,
206,teraḷcu,calanē,to cause to move.,isvādeśacanta,,
207,poraḷcu,luṭhanē,"to cause to welter, etc.",isvādeśacanta,,
208,keraḷcu,āsphōṭanē,to make great noise by slapping or clapping the arms (one ms. kōpōdrēkē to enrage).,isvādeśacanta,,
209,kuruḷcu,śastrasañcālanē,to shake a weapon.,isvādeśacanta,,
210,uruḷcu,nimnāgamanakaraṇē,to cause to roll down.,isvādeśacanta,,
211,haraḻcu,nētravirōdhakaraṇē,to impede or trouble the eye.,isvādeśacanta,,
212,eḻalcu,ālambanē,"to cause to hang down, etc.",isvādeśacanta,,
213,kaḻalcu,pr̥thakkaraṇē,to separate.,isvādeśacanta,,
214,baḻalcu,niścēṣṭayām,"to deprive of motion, activity, etc.",isvādeśacanta,,
215,baḻilcu,adhaḥsraṁsanē,"to cause to fall down, etc.",isvādeśacanta,,
216,aguḻcu,jalāśayamagnē,to cause to siṅk in a piece of water.,isvādeśacanta,,
217,aḻalcu,dukhōtpādanē,to make sorrowful.,isvādeśacanta,,
218,kimuḻcu,hastamardanē,to crush with the hand.,isvādeśacanta,,
219,negaḻcu,vikhyātau,to make famous.,isvādeśacanta,,
220,taguḻcu (taguḷcu),udyōgē,to engage in.,isvādeśacanta,,
221,añju,bhayē,to fear.,janta,,
222,piñju,pr̥thakkaraṇē,to separate.,janta,,
223,nañju,īṣallēhanē,"to lick a little, etc.",janta,,
224,berañju,cayanē,to collect together.,janta,,
225,māñju,apalāpē,to conceal.,janta,,
226,dāṇṭu,laṅghanē,"to jump over, cross.",ṭanta,,
227,dūṇṭu,ēkapādagatau,to walk on one leg.,ṭanta,,
228,kūṇṭu,vakritagatau,"to walk in a disfigured manner, to halt.",ṭanta,,
229,mīṇṭu,utpāṭanē,to pull out.,ṭanta,,
230,iṇṭu,pānē,to drink.,ṭanta,,
231,nāṇṭu,antarbhēḍē,to be pierced into.,ṭanta,,
232,teṇṭu,kūrpakaraṇē,to winnow.,ṭanta,,
233,sīṇṭu,gudasammārjanē,"to rub the anus, etc.",ṭanta,,
234,beraṇṭu,aṅgulikriyāyām,to make a certain performance with the fingers.,ṭanta,,
235,muruṇṭu,dahanakaraṇē,to cause to burn.,ṭanta,,
236,suruṇṭu,saṅkōcanē,to contract; to shrivel.,ṭanta,,
237,keraṇṭu,nakhakhananē,to dig with the nails or claws.,ṭanta,,
238,beraṇṭu,nakhakhananē,to dig with the nails or claws.,ṭanta,,
239,teraṇṭu,nivasanōdvahanē,to make a gift of raiment at a wedding.,ṭanta,,
240,uruṭu,atikramaṇē,to be overbearing.,ṭanta,,
241,tāṭu,saṅghaṭṭanē,to come inte close contact.,ṭanta,,
242,bagaṭu,ūruviślēṣē,to disunite the legs.,ṭanta,,
243,puṭṭu,utpattau,to be born.,ṭanta,,
244,kaṭṭu,bandhanē,"to bind, to build.",ṭanta,,
246,kuṭṭu,ṭāḍanē,"to strike, to pound.",ṭanta,,
246,beṭṭu,,gāḍhapravēśē to cause to enter firmly.,ṭanta,,
247,muṭṭu,sparśanē,to touch.,ṭanta,,
248,kiṭṭu,sparśanē,to touch.,ṭanta,,
249,aṭṭu,anudhāvanē,to run after.,ṭanta,,
250,aṟeyaṭṭu,anudhāvanē,to run after.,ṭanta,aṟe + aṭṭu,
251,eḻbaṭṭu,anudhāvanē,to run after.,ṭanta,eḻbu + aṭṭu,
252,meṭṭu,padavinyāsē,"to place the foot, step.",ṭanta,,
253,tiṭṭu,bhartsanē,to abuse.,ṭanta,,
254,suṭṭu,aṅgulidarśanē,to point at with the finger.,ṭanta,,
255,kiḍukuṭṭu,-saṅghaṭṭanē,to come into close contact.,ṭanta,kiḍu + kuṭṭu,
256,samakaṭṭu,vidhānē,to arrange.,ṭanta,sama + kaṭṭu,
257,guḍikaṭṭu,varṇapūrarēkhāyām,a ring or halo to form.,ṭanta,guḍi + kaṭṭu,
258,taṭṭu,tāḍanē,to strike.,ṭanta,,
259,eṭṭu,ūrdhvagatavastugrahaṇē,to reach a thing placed on high.,ṭanta,,
260,oṭṭu,ēkakriyāyām,"to make one, to put together.",ṭanta,,
261,jaḍi,tarjanē,to menace.,ḍanta,,
262,baḍi,tāḍanē,to strike.,ḍanta,,
263,nuḍi,vacanē,to speak.,ḍanta,,
264,piḍi,grahaṇē,to seize.,ḍanta,,
265,siḍi,vikīrṇē,to scatter.,ḍanta,,
266,kuḍi,pānē,to drink.,ḍanta,,
267,miḍi,"aṅgulipraharaṇē,","to strike with the finger,",ḍanta,,
268,muḍi,keśabandhanē,"to tie (or set in) the hair,",ḍanta,,
269,uḍi,mõṭanē,to break.,ḍanta,,
270,kaḍi,khaṇḍanē,"to cut; śakalē că a piece, a potsherd.",ḍanta,,
271,maḍi,maraṇē,to die.,ḍanta,,
272,giḍi,kabaḷapravēśē,"to enter in, or make enter, by mouthfuls.",ḍanta,,
273,iḍi,cūrṇē,to be powdered .,ḍanta,,
274,aḍu,pacanē,to cook.,ḍanta,,
275,suḍu,dāhē,to burn.,ḍanta,,
276,tuḍu,śarasandhānē,"to fix the arrow (to the bow),",ḍanta,,
277,kuḍu,pradānē,to give.,ḍanta,,
278,biḍu,vimōcanē,"to let go, etc.",ḍanta,,
279,uḍu,vastrapravēṣṭanē,to enter into clothes.,ḍanta,,
280,naḍu,samsthāpanē,to plant.,ḍanta,,
281,paḍu,maraṇē,to die.,ḍanta,,
282,seḍu,"syūti,","to be sewed, stitched, united; to sew, etc.",ḍanta,,
283,iḍu,karavimōcanē,"to let go or send off from the hand, etc.",ḍanta,,
284,kiḍu,vināśē,to be ruined.,ḍanta,,
285,maḍu,dr̥ḍhasandhānē,to put firmly or close together.,ḍanta,,
286,āḍu,nartanē,"to dance, to play.",ḍanta,,
287,pāḍu,gānē,to sing.,ḍanta,,
288,nōḍu,prēkṣaṇē,to see.,ḍanta,,
289,kāḍu,avahēlanē,"to treat disrespectfully, etc.",ḍanta,,
290,tõḍu,niṣkramaṇē,"to go out, come forth.",ḍanta,,
291,nīḍu,prasāraṇē,to stretch out.,ḍanta,,
292,ōḍu,palāyanē,to flee.,ḍanta,,
293,māḍu,karanē,"to make, to do.",ḍanta,,
294,tīḍu,vāyusparśanē,"to touch, as sin or wind, etc.",ḍanta,,
295,sūḍu,puṣpadhāraṇē,to dress with flowers.,ḍanta,,
296,kūḍu,sammēlanē,to come together.,ḍanta,,
297,ūḍu,bhojanakriyāyām,"to take food, etc.,",ḍanta,,
298,mūḍu,utpattau,"to be born, to rise.",ḍanta,,
299,koḍu,śaityē,to be cold; bhayē to fear.,ḍanta,,
300,bēḍu,yacñayām,to beg.,ḍanta,,
301,bāḍu,mlānē,to fade.,ḍanta,,
302,hūḍu,yōjanē,"to join, to harness.",ḍanta,,
303,aḻkāḍu,niravaśēṣē,to be consumed or finished.,ḍanta,aḻku + āḍu,
304,"taḍamāḍu, taḍammāḍu",viparyāsē,"to delude, perplex, etc.",ḍanta,tadam + māḍu,
305,ōlāḍu,jalakhēlanē,"to move to and fro in water, etc.",ḍanta,ōl + āḍu,
306,ēsāḍu,śaragatau,to shoot as an arrow.,ḍanta,ēsu + āḍu,
307,īsāḍu,jalōttaraṇē,"to cross water, to swim.",ḍanta,īsu + āḍu,
308,bīsāḍu,karavimōcanē,"to let go from the hand, to throw away.",ḍanta,bīsu + āḍu,
309,haraḍu,aṅgulikhananē,"to dig with the fingers, etc.,",ḍanta,,
310,kadaḍu,kaluṣē,to become turbid.,ḍanta,,
311,kalaḍu,kaluṣē,to become turbid.,ḍanta,,
312,muduḍu,saṅkōcaṇē,"to contract, shrink, etc.",ḍanta,,
313,horaḍu,pariluṭhanē,"to roll about, to welter, etc.",ḍanta,,
314,auḍu,dantacarvaṇē,to chew with the teeth.,ḍanta,,
315,haraḍu,prasāraṇē,to spread.,ḍanta,,see 309
316,allāḍu,sañcalanē,to shake.,ḍanta,allu + āḍu,
317,koṇḍāḍu,atyādarē,"to show excessive regard, to praise.",ḍanta,koṇḍu + āḍu,
318,āsevaḍu,īpsāyām,to desire.,ḍanta,āse + paḍu,
319,paḍaliḍu,vikīrṇapatanē,to fall scattered.,ḍanta,paḍal + iḍu,
320,mumbiḍu,purōvagamanē,to go or place before.,ḍanta,mumbu + iḍu,
321,holabugiḍu,digbhramaṇē,to become bewildered.,ḍanta,holabu + kiḍu,
322,oḍambaḍu,abhyupagamē,to agree.,ḍanta,oḍam + paḍu,
323,mūguvaḍu,maunē,to become silent.,ḍanta,mūgu + paḍu,
324a,bisāḍu,pramādatyajanē,"to throw away madly, etc.",ḍanta,,see 308
